"TIME","GEO","INDIC_IL","UNIT","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"2009","Ireland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","23,769",""
"2009","Greece","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","11,800",""
"2009","Spain","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","16,109",""
"2009","France","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,878",""
"2009","Croatia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2009","Italy","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,041",""
"2009","Cyprus","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","16,881",""
"2009","Latvia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,748",""
"2009","Lithuania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,771",""
"2009","Luxembourg","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","32,765",""
"2009","Hungary","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,853",""
"2009","Malta","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","13,507",""
"2009","Netherlands","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,671",""
"2009","Austria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,842",""
"2009","Poland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,070",""
"2009","Portugal","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","10,451",""
"2009","Romania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","2,490",""
"2009","Slovenia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","12,123",""
"2009","Slovakia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,858",""
"2009","Finland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,262",""
"2009","Sweden","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,684",""
"2009","United Kingdom","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","16,945",""
"2009","Iceland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","22,630",""
"2009","Norway","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","35,540",""
"2009","Switzerland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","30,620",""
"2009","North Macedonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2009","Serbia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2009","Turkey","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,276",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,825","e"
"2010","European Union - 28 countries","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,825",""
"2010","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,926",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,436","e"
"2010","Euro area (19 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,086",""
"2010","Euro area (18 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,259",""
"2010","Belgium","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,397",""
"2010","Bulgaria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,339",""
"2010","Czechia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","7,490",""
"2010","Denmark","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","27,307",""
"2010","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,228",""
"2010","Estonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,680",""
"2010","Ireland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,041",""
"2010","Greece","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","12,167",""
"2010","Spain","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,795",""
"2010","France","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,151",""
"2010","Croatia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","6,365",""
"2010","Italy","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,236",""
"2010","Cyprus","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","16,334",""
"2010","Latvia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,618",""
"2010","Lithuania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,876",""
"2010","Luxembourg","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","34,092",""
"2010","Hungary","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,345",""
"2010","Malta","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","12,699",""
"2010","Netherlands","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,742",""
"2010","Austria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","22,668",""
"2010","Poland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,372",""
"2010","Portugal","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","10,765",""
"2010","Romania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","2,283",""
"2010","Slovenia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","11,817",""
"2010","Slovakia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","6,374",""
"2010","Finland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,261",""
"2010","Sweden","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,043",""
"2010","United Kingdom","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,774",""
"2010","Iceland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,675",""
"2010","Norway","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","34,097",""
"2010","Switzerland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","31,741",""
"2010","North Macedonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2010","Serbia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2010","Turkey","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,888",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,955","e"
"2011","European Union - 28 countries","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,955",""
"2011","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,061",""
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,228","e"
"2011","Euro area (19 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,955",""
"2011","Euro area (18 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,120",""
"2011","Belgium","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,454",""
"2011","Bulgaria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,319",""
"2011","Czechia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","7,829",""
"2011","Denmark","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","27,815","b"
"2011","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,500",""
"2011","Estonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,611",""
"2011","Ireland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,516",""
"2011","Greece","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","11,019",""
"2011","Spain","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,122",""
"2011","France","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,735","b"
"2011","Croatia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,844",""
"2011","Italy","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,812",""
"2011","Cyprus","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,078",""
"2011","Latvia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,224",""
"2011","Lithuania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,629",""
"2011","Luxembourg","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","33,446",""
"2011","Hungary","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,636",""
"2011","Malta","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","13,264",""
"2011","Netherlands","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,341",""
"2011","Austria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","23,122",""
"2011","Poland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,951",""
"2011","Portugal","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","10,251",""
"2011","Romania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","2,293",""
"2011","Slovenia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","12,083",""
"2011","Slovakia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","6,514",""
"2011","Finland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","21,630",""
"2011","Sweden","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","22,960",""
"2011","United Kingdom","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,377",""
"2011","Iceland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,385",""
"2011","Norway","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","38,102",""
"2011","Switzerland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","35,305",""
"2011","North Macedonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2011","Serbia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2011","Turkey","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,538",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,367","e"
"2012","European Union - 28 countries","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,366",""
"2012","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,481",""
"2012","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,393","e"
"2012","Euro area (19 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,129",""
"2012","Euro area (18 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,286",""
"2012","Belgium","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,914",""
"2012","Bulgaria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,150",""
"2012","Czechia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","8,100",""
"2012","Denmark","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","28,385",""
"2012","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,962",""
"2012","Estonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,969",""
"2012","Ireland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,591",""
"2012","Greece","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","8,799",""
"2012","Spain","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,473",""
"2012","France","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,146",""
"2012","Croatia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,664",""
"2012","Italy","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,803",""
"2012","Cyprus","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","16,938",""
"2012","Latvia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,493",""
"2012","Lithuania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,291",""
"2012","Luxembourg","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","34,237",""
"2012","Hungary","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,825",""
"2012","Malta","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","13,565",""
"2012","Netherlands","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,660",""
"2012","Austria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","23,517",""
"2012","Poland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,956",""
"2012","Portugal","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","9,865",""
"2012","Romania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","2,230",""
"2012","Slovenia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","12,035",""
"2012","Slovakia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","7,189",""
"2012","Finland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","22,269",""
"2012","Sweden","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","25,429",""
"2012","United Kingdom","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,270","b"
"2012","Iceland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,188",""
"2012","Norway","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","41,135",""
"2012","Switzerland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","40,542",""
"2012","North Macedonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","2,009",""
"2012","Serbia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2012","Turkey","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,367",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,267","e"
"2013","European Union - 28 countries","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,267",""
"2013","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,382",""
"2013","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,191","e"
"2013","Euro area (19 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,947",""
"2013","Euro area (18 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,093",""
"2013","Belgium","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","22,376",""
"2013","Bulgaria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,275",""
"2013","Czechia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","8,009",""
"2013","Denmark","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","28,297",""
"2013","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","19,746",""
"2013","Estonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","6,665",""
"2013","Ireland","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,960",""
"2013","Greece","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","7,979",""
"2013","Spain","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,157",""
"2013","France","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,384",""
"2013","Croatia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","5,403",""
"2013","Italy","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,009",""
"2013","Cyprus","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","15,507",""
"2013","Latvia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,760",""
"2013","Lithuania","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,626",""
"2013","Luxembourg","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","35,663",""
"2013","Hungary","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","4,481",""
"2013","Malta","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,480",""
